Date,Open,High,Low,Close,Volume
2024-09-10,218.92,221.48,216.73,220.11,"51,591,031"
2024-09-11,221.46,223.09,217.89,222.66,"44,587,070"
2024-09-12,222.5,223.55,219.82,222.77,"37,498,230"
2024-09-13,223.58,224.04,221.91,222.5,"36,766,621"
2024-09-16,216.54,217.22,213.92,216.32,"59,357,434"
2024-09-17,215.75,216.9,214.5,216.79,"45,519,340"
2024-09-18,217.55,222.71,217.54,220.69,"59,894,930"
2024-09-19,224.99,229.82,224.63,228.87,"66,781,320"
2024-09-20,229.97,233.09,227.62,228.2,"318,679,906"
2024-09-23,227.34,229.45,225.81,226.47,"54,146,020"
2024-09-24,228.65,229.35,225.73,227.37,"43,556,070"
2024-09-25,224.93,227.29,224.02,226.37,"42,308,719"
2024-09-26,227.3,228.5,225.41,227.52,"36,636,711"
2024-09-27,228.46,229.52,227.3,227.79,"34,025,969"
2024-09-30,230.04,233,229.65,233,"54,793,391"
